Ind_ID,GENDER,Car_Owner,Propert_Owner,CHILDREN,Annual_income,Type_Income,EDUCATION,Marital_status,Housing_type,Mobile_phone,Work_Phone,Phone,EMAIL_ID,Type_Occupation,Family_Members,label,Age,Work_Experience
5008827,M,Y,Y,0,180000.0,Pensioner,Higher education,Married,House / apartment,1,0,0,0,Laborers,2,1,51.0,0.0
5009744,F,Y,N,0,315000.0,Commercial associate,Higher education,Married,House / apartment,1,1,1,0,Laborers,2,1,37.0,1.6
5009746,F,Y,N,0,315000.0,Commercial associate,Higher education,Married,House / apartment,1,1,1,0,Laborers,2,1,44.0,1.6
5009749,F,Y,N,0,191399.0,Commercial associate,Higher education,Married,House / apartment,1,1,1,0,Laborers,2,1,37.0,1.6
5009752,F,Y,N,0,315000.0,Commercial associate,Higher education,Married,House / apartment,1,1,1,0,Laborers,2,1,37.0,1.6
5009753,F,Y,N,0,315000.0,Pensioner,Higher education,Married,House / apartment,1,1,1,0,Laborers,2,1,37.0,1.6
5009754,F,Y,N,0,315000.0,Commercial associate,Higher education,Married,House / apartment,1,1,1,0,Laborers,2,1,37.0,1.6
5009894,F,N,N,0,180000.0,Pensioner,Secondary,Married,House / apartment,1,0,0,0,Laborers,2,1,61.0,0.0
5010864,M,Y,Y,1,450000.0,Commercial associate,Secondary,Married,House / apartment,1,0,1,1,Core staff,3,1,50.0,1.9
5010868,M,Y,Y,1,450000.0,Pensioner,Secondary,Married,House / apartment,1,0,1,1,Core staff,3,1,50.0,1.9
5010869,M,Y,Y,1,450000.0,Commercial associate,Secondary,Single / not married,House / apartment,1,0,1,1,Core staff,1,1,50.0,1.9
5018498,F,Y,Y,0,90000.0,Working,Secondary,Married,House / apartment,1,1,1,0,Cooking staff,2,1,52.0,2.7
5018501,F,Y,Y,0,191399.0,Working,Secondary,Married,House / apartment,1,1,1,0,Cooking staff,2,1,52.0,2.7
5018503,F,Y,Y,0,90000.0,Working,Secondary,Married,House / apartment,1,1,1,0,Cooking staff,2,1,52.0,2.7
5021303,M,N,N,1,472500.0,Pensioner,Higher education,Married,With parents,1,0,0,1,Laborers,3,1,24.0,2.5
5021310,M,N,Y,0,270000.0,Working,Secondary,Married,House / apartment,1,0,0,0,Laborers,2,1,46.0,0.7
5021314,M,N,Y,0,270000.0,Working,Secondary,Single / not married,House / apartment,1,0,0,0,Laborers,2,1,46.0,0.7
5021430,F,N,Y,0,126000.0,Commercial associate,Higher education,Single / not married,House / apartment,1,0,0,0,Sales staff,1,1,52.0,6.8
5021431,F,N,Y,0,126000.0,Commercial associate,Higher education,Single / not married,House / apartment,1,0,0,0,Sales staff,1,1,52.0,6.8
